has electricity,has radio,has television,has refrigerator,has bicycle,has motorcycle/scooter,has car/truck,number of rooms used for sleeping,line number of head of household,sex of head of household,age of head of household,has telephone (land-line),share toilet with other households,items present: soap or detergent,"items present: ash, mud, sand",items present: none,anything done to water to make safe to drink,water usually treated by: boil,water usually treated by: add bleach/chlorine,water usually treated by: strain through a cloth,water usually treated by: use water filter,water usually treated by: solar disinfection,water usually treated by: let it stand and settle,water usually treated by: other,water usually treated by: don't know,number of households sharing toilet,household has separate room used as kitchen,has mobile telephone,has watch,has animal-drawn cart,has boat with a motor,has a computer,"owns livestock, herds or farm animals"
yes,yes,yes,no,no,no,no,2,1,male,60,no,yes,,,,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
yes,yes,no,yes,no,no,yes,1,1,male,55,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,4,1,male,42,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,48,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,3,1,female,65,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,no,yes,no,no,no,no,2,1,female,36,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,no,no,no,yes,1,1,male,35,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,female,51,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,no,no,no,no,no,2,1,male,50,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,male,46,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,3,1,female,46,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,66,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,yes
yes,no,yes,yes,no,no,no,2,1,male,32,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,female,35,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,25,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,yes,yes,yes,no,no,yes,4,1,male,60,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,yes
yes,yes,yes,yes,no,no,no,3,1,female,83,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,5,1,male,61,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,yes,no,yes,4,1,male,72,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,yes,no,yes,3,1,male,62,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,2,1,male,68,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,yes,no,yes,3,1,male,44,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,72,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,female,84,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,no,yes,yes,no,yes,yes,2,1,male,31,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,65,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,yes,no,yes,4,1,male,37,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,5,1,male,33,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
yes,yes,yes,yes,no,no,no,3,1,female,74,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,1,1,male,46,no,,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,yes
yes,no,yes,yes,no,no,no,4,1,male,34,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
yes,no,no,yes,no,no,no,2,1,female,86,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,3,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,59,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
yes,yes,yes,yes,no,no,no,4,1,female,31,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,no,4,1,female,86,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
yes,yes,yes,yes,yes,no,no,6,1,female,42,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,no,yes,yes,no,no,no,3,1,female,40,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,male,53,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,no,yes,no,no,no,3,1,female,74,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,4,1,female,64,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
yes,yes,no,no,no,no,no,3,1,male,41,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
yes,no,yes,no,no,no,no,2,1,male,28,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,1,1,female,49,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,no,no,yes,no,no,no,4,1,female,59,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,4,1,male,79,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,4,1,male,54,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no,2,1,female,30,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
no,yes,no,no,no,no,no,1,1,male,28,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,yes,no,no,no,no,no,1,1,male,47,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,3,1,male,48,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,32,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,don't know,no,no,,,,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,50,no,yes,,,,no,no,no,no,no,no,no,no,no,2,yes,yes,yes,no,no,no,no
no,yes,no,no,no,no,no,2,1,male,41,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,22,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,yes,no,no,no,no,no,2,1,male,don't know,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
no,no,no,no,yes,no,no,2,1,female,48,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,yes,no,no,no,no,no,2,1,female,56,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,female,16,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
no,no,no,no,no,no,no,3,1,female,43,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,2,1,male,21,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,yes,no,no,no,no,no,1,1,male,40,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
no,no,no,no,no,no,no,1,1,male,35,no,no,,,,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,57,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
no,yes,yes,no,yes,no,no,1,1,male,31,no,yes,,,,no,no,no,no,no,no,no,no,no,8,no,yes,yes,no,no,no,no
no,no,no,no,no,no,yes,2,1,male,48,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
no,no,no,no,no,no,no,1,1,male,25,no,yes,,,,no,no,no,no,no,no,no,no,no,4,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,female,61,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,don't know,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,3,1,female,42,no,yes,,,,no,no,no,no,no,no,no,no,no,5,no,yes,no,no,no,no,no
