has electricity,has radio,has television,has refrigerator,has bicycle,has motorcycle/scooter,has car/truck,number of rooms used for sleeping,line number of head of household,sex of head of household,age of head of household,has telephone (land-line),share toilet with other households,items present: soap or detergent,"items present: ash, mud, sand",items present: none,anything done to water to make safe to drink,water usually treated by: boil,water usually treated by: add bleach/chlorine,water usually treated by: strain through a cloth,water usually treated by: use water filter,water usually treated by: solar disinfection,water usually treated by: let it stand and settle,water usually treated by: other,water usually treated by: don't know,number of households sharing toilet,household has separate room used as kitchen,has mobile telephone,has watch,has animal-drawn cart,has boat with a motor,has a computer,"owns livestock, herds or farm animals"
no,no,no,no,no,no,no,2,1,male,33,no,no,,,,yes,yes,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,5,1,male,54,no,no,no,no,yes: no cleansing agent observed,yes,no,yes,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
no,no,no,no,no,no,no,1,1,male,64,no,no,,,,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no
no,no,yes,no,no,no,no,2,1,male,47,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,no,yes,no,no,no,no,yes
no,no,no,no,no,no,no,3,1,male,63,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,yes,4,1,male,61,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,,yes,yes,yes,no,no,yes,yes
no,yes,yes,no,yes,no,no,4,1,male,27,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,yes,yes
no,yes,no,no,no,no,no,2,1,male,57,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
no,yes,no,no,yes,no,yes,1,1,male,55,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,yes
no,yes,yes,no,no,no,yes,3,1,male,57,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
no,yes,no,no,no,no,no,2,1,male,50,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,no,yes,no,no,no,no,1,1,male,31,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,2,1,female,53,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
yes,no,yes,no,no,no,no,4,1,female,58,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,no,yes,yes,yes,yes,yes,3,1,male,55,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,yes,yes,yes
yes,yes,no,yes,no,no,no,2,1,male,67,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,5,1,female,43,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,no,no,yes,yes,no,no,2,1,female,26,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,no,no,no,no,no,6,1,male,70,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,yes,no,no,no,no,no,2,1,male,25,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,no,yes,yes,no,no,no,2,1,male,56,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,no,yes,yes,no,no,no,4,1,male,60,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,1,1,male,53,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,no,no,no,no,no,3,1,male,40,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,no,no,no,no,no,2,1,female,75,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
no,yes,no,no,no,no,yes,1,1,male,60,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,female,51,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,no,no,yes,no,no,no,4,1,male,77,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,2,1,male,56,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,yes,yes,yes,no,no,no,8,1,female,70,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,yes
yes,yes,no,yes,no,no,no,4,1,female,64,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,no,no,no,no,no,3,1,male,37,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,yes,2,1,male,39,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,female,28,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,2,1,male,36,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,2,1,male,51,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
